구명,유형,지역명,설치위치(X좌표),설치위치(Y좌표),설치기관(회사)
GU_NM,CATEGORY,PLACE_NAME,INSTL_X,INSTL_Y,INSTL_DIV
종로구,주요거리,광화문거리,198472.518,452487.224,KT
종로구,주요거리,청계천(종로구),198745.839,452106.866,LGU+
종로구,관광명소,청계?,198627.752,452142.854,KT
종로구,주요거리,청계천(종로구),198630.083,452133.324,LGU+
종로구,주요거리,광화문거리,198747.686,452655.234,KT
종로구,주요거리,광화문거리,198917.019,452602.318,KT
종로구,주요거리,광화문거리,197764.757,452508.39,KT
종로구,주요거리,대학로,200304.423,453422.328,LGU+
종로구,주요거리,대학로,200247.537,453419.682,LGU+
종로구,주요거리,대학로,200189.83,453583.42,LGU+
종로구,주요거리,대학로,200634.981,453404.343,LGU+
종로구,주요거리,대학로,200210.997,453382.998,LGU+
종로구,주요거리,대학로,200214.464,453389.917,LGU+
종로구,공원,종묘공원,199475.921,452409.987,LGU+
종로구,공원,사직공원,197240.736,452960.393,SKT
종로구,주요거리,삼청동 카페골목,198472.928,453863.487,LGU+
종로구,주요거리,삼청동 카페골목,198406.782,453863.487,LGU+
종로구,관광명소,청계?,198173.197,452175.794,KT
종로구,공원,청계천(광장),198073.79,452194.726,KT
종로구,공원,청계천(종로구),198342.211,452173.03,KT
종로구,주요거리,청계천(종로구),198223.286,452187.564,LGU+
종로구,광장,광화문광장,197917.091,452487.554,LGU+
종로구,광장,서울역사박물관 광장,197179.963,452431.895,LGU+
종로구,공공청사,서울역사박물관,197404.393,452326.357,서울시
종로구,광장,서울역사박물관 광장,197409.159,452345.641,LGU+
종로구,주요거리,대학로,200172.792,453346.26,LGU+
종로구,관광명소,청계?,199819.835,452149.071,KT
종로구,주요거리,인사동,198792.533,452601.127,LGU+
종로구,주요거리,인사동,198776.658,452605.79,LGU+
종로구,관광명소,청계?,199652.089,452148.542,KT
종로구,관광명소,청계?,199517.68,452136.636,KT
종로구,관광명소,청계?,199452.328,452131.08,KT
종로구,관광명소,청계?,199328.767,452090.598,KT
종로구,주요거리,종로거리,198932.37,452311.918,LGU+
종로구,주요거리,대학로,200118.392,453793.103,LGU+
종로구,주요거리,대학로,200144.156,453757.384,LGU+
